Nombre,URL,Disponibilidad,Fecha
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 22:10:18.465000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 22:10:18.465000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 22:10:18.465000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 22:10:18.465000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 22:10:18.465000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 22:40:40.940000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 22:40:40.940000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 22:40:40.940000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 22:40:40.940000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 22:40:40.940000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 22:40:40.940000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 22:40:40.940000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 22:40:40.940000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 22:40:40.940000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 22:40:40.940000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 22:40:40.940000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 22:40:40.940000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 22:40:40.940000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 22:40:40.940000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 23:11:10.454000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 23:11:10.454000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 23:11:10.454000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 23:11:10.454000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 23:11:10.454000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 23:11:10.454000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 23:11:10.454000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 23:11:10.454000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 23:11:10.454000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 23:11:10.454000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 23:11:10.454000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 23:11:10.454000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 23:11:10.454000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 23:11:10.454000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-04 23:41:32.429000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-04 23:41:32.429000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-04 23:41:32.429000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-04 23:41:32.429000
Odoo,https://dataintelligence.store/,Disponible,2021-02-04 23:41:32.429000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-04 23:41:32.429000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-04 23:41:32.429000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-04 23:41:32.429000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-04 23:41:32.429000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-04 23:41:32.429000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-04 23:41:32.429000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-04 23:41:32.429000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-04 23:41:32.429000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-04 23:41:32.429000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-05 00:11:50.977000
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-05 00:11:50.977000
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-05 00:11:50.977000
Dropbox,https://www.dropbox.com/,Disponible,2021-02-05 00:11:50.977000
Odoo,https://dataintelligence.store/,Disponible,2021-02-05 00:11:50.977000
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-05 00:11:50.977000
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-05 00:11:50.977000
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-05 00:11:50.977000
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-05 00:11:50.977000
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-05 00:11:50.977000
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-05 00:11:50.977000
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-05 00:11:50.977000
Github,https://github.com/Sud-Austral/,Disponible,2021-02-05 00:11:50.977000
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-05 00:11:50.977000
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-05 00:42:12.804209
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-05 00:42:12.804209
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-05 00:42:12.804209
Dropbox,https://www.dropbox.com/,Disponible,2021-02-05 00:42:12.804209
